year,n_valid,n_nodata,min,p5,p25,median,mean,p75,p95,max,std,cv
2001,818,286,61.954197,133.36053,223.01038,297.4885,324.05103,384.7259,633.4547,1095.5916,155.14156,47.875656
2002,818,286,31.353107,63.044323,89.82508,117.88335,125.69031,149.28409,223.17282,401.90204,52.326885,41.6316
2003,818,286,5.8179684,58.17067,102.17519,146.69745,169.45343,215.56587,361.17944,544.3093,94.61029,55.83262
2004,818,286,34.550133,73.57973,124.52788,169.5286,178.978,220.0969,317.24902,616.9141,76.70518,42.857323
2005,818,286,11.733044,43.22599,74.76363,102.03581,115.79638,142.92679,234.40245,339.12827,58.418404,50.449245
2006,818,286,41.09823,63.176075,96.18791,134.69815,137.34486,172.10101,227.3778,309.87534,50.93073,37.082367
2007,818,286,74.87718,110.59086,192.16301,252.25803,263.41995,326.13257,435.94916,791.0236,100.95666,38.325363
2008,818,286,41.5567,92.86269,137.37967,186.26959,198.65092,247.44717,342.8759,487.43564,79.61865,40.07968
2009,798,306,3.2354805,8.097469,22.67751,37.358643,48.17215,61.765812,114.54994,343.4421,40.034485,83.10712
2010,788,316,1.9450141,9.221193,35.276047,65.071106,83.495834,117.25653,217.25008,383.86105,65.972694,79.01315
2011,818,286,34.665554,72.94698,131.58319,190.5166,198.91428,250.54738,356.5371,730.13104,93.64499,47.078064
2012,818,286,26.164654,57.323742,101.23573,135.64583,147.917,192.05981,255.87943,387.44937,62.51083,42.260746
2013,818,286,12.722657,45.627037,72.131485,97.14311,110.408295,136.38828,220.61229,425.5562,56.333443,51.022835
2014,818,286,9.179146,42.11769,65.54799,85.03,90.61447,107.527855,154.27852,484.62476,40.128025,44.284344
2015,818,286,34.588333,68.07201,105.48561,141.19092,166.5858,207.87283,337.44086,624.61285,89.91896,53.977566
2016,818,286,23.883476,55.2372,72.161674,87.83903,94.056465,108.36069,155.49265,247.90794,32.021053,34.044502
2017,818,286,66.32778,116.899666,164.15118,216.6259,241.55273,288.68875,453.97446,997.4391,116.004005,48.024296
2018,818,286,3.8988798,10.906212,40.798992,101.90073,104.4696,150.34744,235.9191,352.67285,72.4763,69.375496
2019,816,288,3.631019,15.640808,96.30504,173.80032,172.68826,243.71675,344.84818,500.24548,100.29938,58.08118
2020,818,286,29.138706,61.39235,108.25167,146.54819,159.92691,197.58284,284.64703,792.99994,79.19573,49.519955
2021,818,286,31.968098,53.94012,72.29501,90.6239,99.9823,114.69252,180.17355,371.53098,40.782703,40.789925
2022,818,286,29.983505,69.262886,150.40205,217.92346,231.55696,296.25586,451.5966,777.55963,115.25674,49.77468
2023,818,286,14.887889,40.641552,64.18278,95.90405,110.908615,141.8679,230.11533,470.9842,63.705845,57.43994
2024,818,286,65.38031,102.369484,162.78412,226.91171,242.93199,296.92737,431.70343,816.2894,110.94049,45.6673
