site,year,product,annual_total_mm,p99_30min_mmh,max_3h_total_mm,annual_r
aws310,2023,ground,270.09000000000003,87.36329999999998,53.849999999999994,3118.8944235407143
aws310,2023,raw,457.3064884953201,4.847399778366095,16.354999221861362,162.35045906527554
aws310,2023,v5,474.90990262152627,5.085078926086424,16.950699903070927,179.32565469015336
aws310,2023,v6,413.2727497856292,7.749949598312378,19.405202508034563,354.027333716859
aws310,2024,ground,0.0,0.0,0.0,0.0
aws310,2024,raw,462.90998916327953,5.607299680709838,13.379999876022339,117.43381445923626
aws310,2024,v5,538.4901235308498,6.720669708251951,16.227677583694458,206.068870184677
aws310,2024,v6,452.7521069405639,7.201978311538704,14.583888173103333,188.83592336718263
biomet,2023,ground,0.1,0.2,0.1,0.0
biomet,2023,raw,480.9309871853329,5.550999746322647,14.639999508857727,134.12321455725657
biomet,2023,v5,501.9006385970861,5.815870056152353,15.68082308769226,157.62547612491915
biomet,2023,v6,464.3782954112823,8.537864837646481,17.10659371316433,389.3404541450527
biomet,2024,ground,322.8,14.02399999999998,19.900000000000002,406.43769747957356
biomet,2024,raw,529.4449865641072,7.7258995771407575,34.219998717308044,377.89925447117525
biomet,2024,v5,620.6664990517311,8.710415601730398,41.92534530162811,589.9142843373036
biomet,2024,v6,526.7505134144145,7.858849000930808,43.71555387228727,1065.285988370833
